0.0,48.16778,17.105829999999994,-5.3,993.4,87.0,1.6,51.2
0.0,49.2894,21.2739,-12.7,991.6,89.2,0.6,140.5
1.0,48.16778,17.105829999999994,,993.2,84.8,1.8,95.7
1.0,49.2894,21.2739,-12.9,991.3,90.4,0.3,231.0
2.0,48.16778,17.105829999999994,-5.1,993.0,86.1,1.3,71.8
2.0,49.2894,21.2739,-13.3,991.0,88.7,0.4,200.3
3.0,48.16778,17.105829999999994,-5.0,993.0,88.0,0.5,111.3
3.0,49.2894,21.2739,-13.7,990.9,88.4,0.6,164.2
4.0,48.16778,17.105829999999994,-5.0,992.4,88.3,0.8,108.7
4.0,49.2894,21.2739,-13.8,990.4,89.6,0.8,232.5
5.0,48.16778,17.105829999999994,-5.0,992.3,89.1,0.6,23.9
5.0,49.2894,21.2739,,990.1,87.9,0.4,161.0
6.0,48.16778,17.105829999999994,-4.9,992.5,89.1,1.4,27.9
6.0,49.2894,21.2739,-14.2,990.2,87.7,0.4,172.6
7.0,48.16778,17.105829999999994,-4.9,992.6,89.9,1.5,23.0
7.0,49.2894,21.2739,-14.3,990.2,87.3,,270.3
8.0,48.16778,17.105829999999994,-4.4,992.6,89.3,1.7,294.0
8.0,49.2894,21.2739,-12.0,990.0,87.3,0.8,143.1
9.0,48.16778,17.105829999999994,-3.9,992.6,89.4,1.8,280.4
9.0,49.2894,21.2739,-9.4,989.9,80.9,0.4,139.2
,48.16778,17.105829999999994,-2.9,992.6,84.9,0.8,278.5
10.0,49.2894,21.2739,-7.2,989.4,72.5,0.8,155.3
11.0,48.16778,17.105829999999994,-2.2,992.1,82.2,1.6,16.8
11.0,49.2894,21.2739,-6.3,,74.3,0.8,8.8
12.0,48.16778,17.105829999999994,-2.1,991.4,85.8,2.0,294.9
12.0,49.2894,21.2739,-5.4,,66.6,0.7,358.0
13.0,48.16778,17.105829999999994,-1.8,991.0,87.1,1.1,52.4
13.0,49.2894,21.2739,-4.7,,67.8,0.6,355.4
14.0,48.16778,17.105829999999994,-2.1,991.2,91.8,0.5,353.9
14.0,49.2894,21.2739,-4.8,987.9,71.9,0.6,221.9
15.0,48.16778,17.105829999999994,-2.5,,95.4,1.4,95.4
15.0,49.2894,,-7.2,988.1,81.7,0.5,260.6
16.0,48.16778,17.105829999999994,-3.2,990.7,96.8,0.2,19.2
16.0,49.2894,21.2739,-8.7,988.5,85.3,0.6,161.8
17.0,,17.105829999999994,-3.0,990.8,98.8,0.9,223.4
17.0,49.2894,21.2739,-10.0,988.6,89.9,1.3,212.4
18.0,,17.105829999999994,-2.8,990.8,98.5,0.2,270.9
18.0,49.2894,,-10.8,988.8,90.7,0.5,170.1
19.0,48.16778,17.105829999999994,-2.4,990.6,100.0,1.4,236.7
19.0,49.2894,,-11.2,989.0,91.6,0.2,312.7
20.0,48.16778,17.105829999999994,-2.0,990.7,100.0,0.2,169.3
20.0,49.2894,21.2739,-11.9,988.8,89.8,0.4,119.5
21.0,48.16778,17.105829999999994,-2.6,990.6,99.7,0.8,60.1
21.0,49.2894,21.2739,-12.3,989.0,91.3,0.5,244.0
22.0,48.16778,17.105829999999994,-2.8,990.3,100.0,1.2,37.7
22.0,49.2894,21.2739,-12.5,989.0,90.3,0.5,260.5
23.0,48.16778,17.105829999999994,-2.6,989.8,100.0,1.4,45.2
23.0,49.2894,21.2739,-12.8,989.1,89.5,0.3,182.5
,48.16778,17.105829999999994,-2.5,989.8,100.0,0.5,91.2
24.0,49.2894,21.2739,-13.4,989.0,87.7,0.7,163.9
25.0,48.16778,17.105829999999994,-2.5,989.8,100.0,0.6,58.3
25.0,49.2894,21.2739,-13.6,989.1,88.2,0.7,161.0
26.0,48.16778,17.105829999999994,-2.3,989.4,100.0,1.6,81.6
