1,14.96,41.76,1024.07,73.17,463.26
2,25.18,62.96,1020.04,59.08,444.37
3,5.11,39.4,1012.16,92.14,488.56
4,20.86,57.32,1010.24,76.64,446.48
5,10.82,37.5,1009.23,96.62,473.9
6,26.27,59.44,1012.23,58.77,443.67
7,15.89,43.96,1014.02,75.24,467.35
8,9.48,44.71,1019.12,66.43,478.42
9,14.64,45,1021.78,41.25,475.98
10,11.74,43.56,1015.14,70.72,477.5
11,17.99,43.72,1008.64,75.04,453.02
12,20.14,46.93,1014.66,64.22,453.99
13,24.34,73.5,1011.31,84.15,440.29
14,25.71,58.59,1012.77,61.83,451.28
15,26.19,69.34,1009.48,87.59,433.99
16,21.42,43.79,1015.76,43.08,462.19
17,18.21,45,1022.86,48.84,467.54
18,11.04,41.74,1022.6,77.51,477.2
19,14.45,52.75,1023.97,63.59,459.85
20,13.97,38.47,1015.15,55.28,464.3
21,17.76,42.42,1009.09,66.26,468.27
22,5.41,40.07,1019.16,64.77,495.24
23,7.76,42.28,1008.52,83.31,483.8
24,27.23,63.9,1014.3,47.19,443.61
25,27.36,48.6,1003.18,54.93,436.06
26,27.47,70.72,1009.97,74.62,443.25
27,14.6,39.31,1011.11,72.52,464.16
28,7.91,39.96,1023.57,88.44,475.52
29,5.81,35.79,1012.14,92.28,484.41
30,30.53,65.18,1012.69,41.85,437.89
31,23.87,63.94,1019.02,44.28,445.11
32,26.09,58.41,1013.64,64.58,438.86
33,29.27,66.85,1011.11,63.25,440.98
34,27.38,74.16,1010.08,78.61,436.65
35,24.81,63.94,1018.76,44.51,444.26
36,12.75,44.03,1007.29,89.46,465.86
37,24.66,63.73,1011.4,74.52,444.37
38,16.38,47.45,1010.08,88.86,450.69
39,13.91,39.35,1014.69,75.51,469.02
40,23.18,51.3,1012.04,78.64,448.86
41,22.47,47.45,1007.62,76.65,447.14
42,13.39,44.85,1017.24,80.44,469.18
43,9.28,41.54,1018.33,79.89,482.8
44,11.82,42.86,1014.12,88.28,476.7
45,10.27,40.64,1020.63,84.6,474.99
46,22.92,63.94,1019.28,42.69,444.22
47,16,37.87,1020.24,78.41,461.33
48,21.22,43.43,1010.96,61.07,448.06
49,13.46,44.71,1014.51,50,474.6
50,9.39,40.11,1029.14,77.29,473.05
51,31.07,73.5,1010.58,43.66,432.06
52,12.82,38.62,1018.71,83.8,467.41
53,32.57,78.92,1011.6,66.47,430.12
54,8.11,42.18,1014.82,93.09,473.62
55,13.92,39.39,1012.94,80.52,471.81
56,23.04,59.43,1010.23,68.99,442.99
57,27.31,64.44,1014.65,57.27,442.77
58,5.91,39.33,1010.18,95.53,491.49
59,25.26,61.08,1013.68,71.72,447.46
60,27.97,58.84,1002.25,57.88,446.11
61,26.08,52.3,1007.03,63.34,442.44
62,29.01,65.71,1013.61,48.07,446.22
63,12.18,40.1,1016.67,91.87,471.49
64,13.76,45.87,1008.89,87.27,463.5
65,25.5,58.79,1016.02,64.4,440.01
66,28.26,65.34,1014.56,43.4,441.03
67,21.39,62.96,1019.49,72.24,452.68
68,7.26,40.69,1020.43,90.22,474.91
69,10.54,34.03,1018.71,74,478.77
70,27.71,74.34,998.14,71.85,434.2
71,23.11,68.3,1017.83,86.62,437.91
72,7.51,41.01,1024.61,97.41,477.61
73,26.46,74.67,1016.65,84.44,431.65
74,29.34,74.34,998.58,81.55,430.57
75,10.32,42.28,1008.82,75.66,481.09
76,22.74,61.02,1009.56,79.41,445.56
77,13.48,39.85,1012.71,58.91,475.74
78,25.52,69.75,1010.36,90.06,435.12
79,21.58,67.25,1017.39,79,446.15
80,27.66,76.86,1001.31,69.47,436.64
81,26.96,69.45,1013.89,51.47,436.69
82,12.29,42.18,1016.53,83.13,468.75
83,15.86,43.02,1012.18,40.33,466.6
84,13.87,45.08,1024.42,81.69,465.48
85,24.09,73.68,1014.93,94.55,441.34
86,20.45,69.45,1012.53,91.81,441.83
87,15.07,39.3,1019,63.62,464.7
88,32.72,69.75,1009.6,49.35,437.99
89,18.23,58.96,1015.55,69.61,459.12
90,35.56,68.94,1006.56,38.75,429.69
91,18.36,51.43,1010.57,90.17,459.8
92,26.35,64.05,1009.81,81.24,433.63
93,25.92,60.95,1014.62,48.46,442.84
94,8.01,41.66,1014.49,76.72,485.13
95,19.63,52.72,1025.09,51.16,459.12
96,20.02,67.32,1012.05,76.34,445.31
97,10.08,40.72,1022.7,67.3,480.8
98,27.23,66.48,1005.23,52.38,432.55
99,23.37,63.77,1013.42,76.44,443.86
100,18.74,59.21,1018.3,91.55,449.77
101,14.81,43.69,1017.19,71.9,470.71
102,23.1,51.3,1011.93,80.05,452.17
103,10.72,41.38,1021.6,63.77,478.29
104,29.46,71.94,1006.96,62.26,428.54
105,8.1,40.64,1020.66,89.04,478.27
106,27.29,62.66,1007.63,58.02,439.58
107,17.1,49.69,1005.53,81.82,457.32
108,11.49,44.2,1018.79,91.14,475.51
109,23.69,65.59,1010.85,88.92,439.66
110,13.51,40.89,1011.03,84.83,471.99
111,9.64,39.35,1015.1,91.76,479.81
112,25.65,78.92,1010.83,86.56,434.78
113,21.59,61.87,1011.18,57.21,446.58
114,27.98,58.33,1013.92,54.25,437.76
115,18.8,39.72,1001.24,63.8,459.36
116,18.28,44.71,1016.99,33.71,462.28
117,13.55,43.48,1016.08,67.25,464.33
118,22.99,46.21,1010.71,60.11,444.36
119,23.94,59.39,1014.32,74.55,438.64
120,13.74,34.03,1018.69,67.34,470.49
121,21.3,41.1,1001.86,42.75,455.13
122,27.54,66.93,1017.06,55.2,450.22
